Wall time,Step,Value
1725239442.8237538,3730,0.01710498332977295
1725239477.7290049,3915,0.018431231379508972
1725239482.342366,3940,0.016476670280098915
1725239483.82087,3948,0.016135169193148613
1725239784.9385176,5560,0.016690479591488838
1725239791.148414,5594,0.01638704538345337
1725239793.3606021,5606,0.01650780439376831
1725239794.8337202,5614,0.01563381217420101
1725239798.865099,5636,0.015573929995298386
1725239810.5149307,5700,0.016163740307092667
1725239815.9673712,5730,0.01648949272930622
1725239841.9621828,5873,0.01582419127225876
1725239846.7029278,5899,0.015360419638454914
1725239861.71065,5981,0.015418325550854206
1725239868.9993443,6021,0.016548143699765205
1725239875.2169054,6055,0.014315812848508358
1725239878.1162217,6071,0.015851536765694618
1725239891.079011,6142,0.015691865235567093
1725239898.0237062,6180,0.016645943745970726
1725239900.3918169,6193,0.015404273755848408
1725239918.154233,6290,0.016410302370786667
1725239930.2016075,6356,0.01523134671151638
1725239939.9769695,6409,0.015080111101269722
1725239950.5716732,6467,0.015155337750911713
1725239955.1490555,6492,0.014652282930910587
1725239961.7533634,6528,0.015112699009478092
1725239962.848489,6534,0.014540979638695717
1725239963.757392,6539,0.014869801700115204
1725239964.1239254,6541,0.01451299712061882
1725239969.6150157,6571,0.01656460016965866
1725239984.706795,6653,0.01735500991344452
1725239985.6385942,6658,0.014737158082425594
1725239986.7729673,6664,0.015268351882696152
1725239996.2676735,6716,0.014964320696890354
1725239997.1917052,6721,0.015310978516936302
1725240018.8898118,6840,0.01667969673871994
1725240022.3344533,6859,0.014456048607826233
1725240036.6691926,6937,0.015020734630525112
1725240047.5798504,6997,0.015149028040468693
1725240068.171494,7110,0.015526825562119484
1725240070.1522288,7121,0.015320909209549427
1725240074.9108489,7147,0.01442001760005951
1725240075.8218637,7152,0.01594209484755993
1725240077.0926297,7159,0.014027871191501617
1725240085.4532104,7205,0.015421325340867043
1725240087.679731,7217,0.015348252840340137
1725240090.2351825,7231,0.014621366746723652
1725240090.9603248,7235,0.01435123011469841
1725240092.4221394,7243,0.01476500928401947
1725240095.5088847,7260,0.014788390137255192
1725240096.08663,7263,0.01562398299574852
1725240097.9144065,7273,0.014205566607415676
1725240099.9515438,7284,0.014685725793242455
1725240100.1337402,7285,0.01469743438065052
1725240102.3184896,7297,0.014857911504805088
1725240104.896746,7311,0.014588767662644386
1725240106.7029657,7321,0.014142905361950397
1725240107.7897248,7327,0.01495029591023922
1725240108.5187733,7331,0.015287544578313828
1725240111.6550808,7348,0.014680204913020134
1725240114.385818,7363,0.015458854846656322
1725240116.5647748,7375,0.016028691083192825
1725240129.7085211,7447,0.014048139564692974
1725240131.3379233,7456,0.014474645256996155
1725240139.2041228,7499,0.014770535752177238
1725240145.1696649,7532,0.014731460250914097
1725240145.3492324,7533,0.0151795893907547
1725240146.4381053,7539,0.014919416047632694
1725240149.5493948,7556,0.014158807694911957
1725240150.2802086,7560,0.014790428802371025
1725240153.7154233,7579,0.015255122445523739
1725240154.8018165,7585,0.014673519879579544
1725240159.0457358,7608,0.015978360548615456
1725240161.9713476,7624,0.014528191648423672
1725240162.33633,7626,0.015989238396286964
1725240162.7054093,7628,0.014675225131213665
1725240163.9759758,7635,0.013848918490111828
1725240164.1580603,7636,0.014146951027214527
1725240168.698679,7661,0.015210219658911228
1725240170.3348124,7670,0.015240820124745369
1725240172.3287046,7681,0.014728881418704987
1725240173.424853,7687,0.014943494461476803
1725240178.7350137,7716,0.014454859308898449
1725240179.6422863,7721,0.015630390495061874
1725240180.000472,7723,0.015431239269673824
1725240180.9018805,7728,0.014079230837523937
1725240183.8228915,7744,0.014381209388375282
1725240184.189308,7746,0.015069741755723953
1725240185.295837,7752,0.014159413054585457
1725240186.9587705,7761,0.014669934287667274
1725240187.5219076,7764,0.01387077197432518
1725240187.8917162,7766,0.01474812999367714
1725240188.0717144,7767,0.014613289386034012
1725240191.3243558,7785,0.015165679156780243
1725240194.6134777,7803,0.013931775465607643
1725240195.5147243,7808,0.01509932428598404
1725240195.8801851,7810,0.015006296336650848
1725240196.6113772,7814,0.015070461668074131
1725240203.7040284,7853,0.014714469201862812
1725240204.0670888,7855,0.014669914729893208
1725240207.6751235,7875,0.013939118944108486
1725240208.030744,7877,0.014127867296338081
1725240208.758063,7881,0.01481770258396864
1725240211.112285,7894,0.013746408745646477
1725240212.2128377,7900,0.015454104170203209
1725240213.3320034,7906,0.015244380570948124
1725240217.1145535,7927,0.014827554114162922
1725240219.683445,7941,0.015012692660093307
1725240220.2198412,7944,0.014537937007844448
1725240220.581598,7946,0.016784122213721275
